,50,100,500,1000,10000,20000,100000
AbChain_mw,"[0.8122435  0.7040571  0.81643179 0.74571154 0.81641072 0.77634728 0.74719727 0.76009325 0.6826726  0.81408344 0.72447631 0.71711432 0.69368331 0.76016897 0.63809354 0.7885426  0.77662829 0.72250461 0.83599911 0.71191597]","[0.84728753 0.86942855 0.83631837 0.84488271 0.89006074 0.88066532 0.85637319 0.87136171 0.87837109 0.85210777 0.78957733 0.88995027 0.84134158 0.86683227 0.88040248 0.8560997  0.86567168 0.85252763 0.8718433  0.862557  ]","[0.96283059 0.96302728 0.96593286 0.96303491 0.96389205 0.96513168 0.96258795 0.96399783 0.96493484 0.96399147 0.96299978 0.96790824 0.96812663 0.96362178 0.96656666 0.9654289  0.96368472 0.96372197 0.9649202  0.96002161]","[0.97683047 0.97798076 0.97754921 0.97650495 0.97766834 0.97739932 0.97760856 0.97664419 0.97659117 0.97561305 0.97759645 0.97749673 0.97790973 0.97687301 0.97682226 0.9771507  0.97654449 0.97776377 0.97596058 0.97780535]","[0.99142768 0.99149247 0.9914395  0.99148112 0.99143806 0.99156705 0.99141503 0.99148356 0.99113506 0.99146797 0.99127693 0.99147642 0.99158282 0.99144936 0.99149294 0.99140183 0.99150513 0.99147417 0.99164852 0.99139196]","[0.9929248  0.99292683 0.99283971 0.99301576 0.99291349 0.99293957 0.99297816 0.99289554 0.99278947 0.99296743 0.99298846 0.99291835 0.99295759 0.99294948 0.99297809 0.99289556 0.99292763 0.99295279 0.99296354 0.99290821]","[0.99454934 0.99454158 0.99455269 0.99453581 0.9945383  0.99453308 0.99453038 0.99453132 0.99455467 0.9944897  0.99454294 0.99454122 0.99454935 0.99454949 0.99453604 0.99452064 0.99455102 0.99454289 0.99451992 0.99454003]"
AbChain_length,"[0.84742509 0.75669804 0.84738752 0.79904779 0.84577483 0.80787927 0.80499731 0.80568462 0.72621328 0.85513618 0.8041452  0.71733626 0.72484285 0.77038997 0.69588029 0.79770738 0.80620556 0.77651887 0.87880956 0.69845268]","[0.86705229 0.89969847 0.86460735 0.85841987 0.89891519 0.91185511 0.87454091 0.89911134 0.89671617 0.86593217 0.84219372 0.90481495 0.87541555 0.88493997 0.89810341 0.86743188 0.89535671 0.88174615 0.8916998  0.87399256]","[0.96775225 0.9669605  0.97045074 0.96763008 0.96876172 0.96942496 0.96717385 0.96624749 0.96861626 0.96870382 0.96831134 0.97106846 0.97256751 0.96717535 0.96952229 0.9701911  0.96728545 0.96720794 0.96900939 0.96160995]","[0.97833751 0.98008312 0.98057517 0.97927779 0.98019059 0.97989993 0.97969362 0.97927219 0.97904841 0.97766876 0.97979116 0.97913271 0.98024068 0.97931846 0.97879413 0.97945438 0.97865829 0.98010047 0.97835538 0.97970932]","[0.99220185 0.99230009 0.99226243 0.99227272 0.99220263 0.99229053 0.99229066 0.9922521  0.99193256 0.99228201 0.99212578 0.99230374 0.99236227 0.9922983  0.99228004 0.99219679 0.99228046 0.99222104 0.99235926 0.99222119]","[0.99356499 0.9936008  0.99348182 0.99368594 0.99355699 0.99359305 0.99365473 0.99358973 0.99343417 0.99362925 0.99364626 0.99358631 0.99361013 0.99358578 0.99362642 0.99357615 0.99358702 0.99362097 0.9936176  0.99359213]","[0.99509145 0.99507824 0.99509383 0.99508124 0.99508489 0.99507496 0.99506695 0.99507776 0.99509233 0.99502662 0.99508758 0.99508487 0.99508566 0.99508957 0.99507735 0.99506627 0.99508565 0.99508573 0.99507544 0.99508363]"
AbChain_av_resdiue_weight,"[0.50646852 0.3787891  0.57245778 0.58923623 0.50234936 0.45971693 0.52450416 0.57069501 0.55506504 0.53766818 0.45735912 0.60024356 0.50105527 0.66237051 0.55822673 0.5626103  0.53262368 0.42567807 0.47404876 0.39475433]","[0.70947086 0.69679047 0.68718196 0.65995354 0.69222229 0.66516641 0.68982677 0.71774774 0.76129593 0.72809061 0.65126541 0.74173047 0.70213331 0.74413463 0.74470779 0.67621104 0.67287716 0.71202448 0.71532371 0.70951444]","[0.9168038  0.91964311 0.90993785 0.91277701 0.91810557 0.91665673 0.91408285 0.92062779 0.91894723 0.91475255 0.915767   0.91802409 0.92087733 0.9163124  0.92506815 0.91416185 0.91879731 0.91523901 0.91753368 0.91380194]","[0.94659124 0.94503761 0.94441461 0.94682672 0.94812957 0.94917637 0.94893486 0.94596156 0.94697295 0.9447188  0.94510485 0.9473879 0.94875112 0.94627008 0.94473446 0.9457209  0.94478829 0.94944485 0.94456312 0.9477076 ]","[0.98109545 0.98118922 0.98114367 0.98104658 0.98091115 0.98104583 0.98105544 0.98115254 0.98104639 0.98100624 0.98108341 0.98096149 0.98117943 0.98076709 0.98123989 0.98100062 0.98093646 0.98095278 0.98103111 0.98090854]","[0.98422668 0.98409468 0.98415093 0.98411706 0.98419092 0.98428541 0.98409607 0.98406167 0.98424332 0.98408145 0.98424446 0.98419387 0.98398826 0.98418514 0.98398724 0.98417061 0.98427838 0.98416417 0.98406782 0.98411549]","[0.98743976 0.9874563  0.98744389 0.98744211 0.987441   0.98747153 0.98746433 0.98744261 0.98743291 0.98743605 0.9874266  0.98746165 0.98745091 0.98747936 0.98744434 0.98744446 0.98744502 0.98743853 0.98746683 0.98743188]"
AbChain_aromatic_content,"[0.52597519 0.62412959 0.59154044 0.53918143 0.5596127  0.47426435 0.56347718 0.64794673 0.52582707 0.45777724 0.47429768 0.51966704 0.54909557 0.57511144 0.60164951 0.44727191 0.40259726 0.41718248 0.43464143 0.39841507]","[0.69253699 0.72723283 0.67043896 0.67973799 0.70577386 0.62649145 0.71013614 0.69665518 0.72178213 0.66064999 0.58020102 0.71818173 0.71738191 0.68313624 0.69996913 0.70243345 0.71613234 0.72892887 0.65373643 0.71879034]","[0.88805428 0.88296707 0.87531246 0.88548485 0.89718694 0.88083253 0.8868179  0.8861715  0.89424992 0.89256396 0.89276523 0.88567651 0.88450652 0.87513091 0.88567439 0.88597516 0.88672288 0.88756952 0.89116679 0.89308891]","[0.92544672 0.92497189 0.92383221 0.92426253 0.92349483 0.92659293 0.92663176 0.92719283 0.92366616 0.92841791 0.9285435  0.92710077 0.92344585 0.92444006 0.92502843 0.92981435 0.92530088 0.92523855 0.92594886 0.9253415 ]","[0.97429965 0.97423431 0.97411482 0.97420921 0.97430443 0.97425222 0.9745035  0.97432052 0.97448078 0.974096   0.9744425  0.9740316 0.97433631 0.97399222 0.97412664 0.97450301 0.97417261 0.97395711 0.97400051 0.97405942]","[0.97876074 0.97854295 0.97879454 0.9788197  0.97880698 0.97892349 0.97886515 0.97881431 0.97891295 0.97881446 0.97902166 0.97887481 0.97879112 0.97888251 0.97884797 0.97890435 0.9786519  0.97884121 0.97881988 0.97886849]","[0.9833444  0.9833816  0.9833824  0.9834127  0.98338418 0.98340627 0.98340573 0.98335818 0.98338607 0.98339349 0.98334596 0.98339033 0.9833948  0.98342512 0.98338769 0.98336987 0.98340707 0.98338353 0.9833786  0.98338535]"
AbChain_1_charge,"[0.56945509 0.58751256 0.50851992 0.62241271 0.54142236 0.47742784 0.55854333 0.62126137 0.57173698 0.54920766 0.54510148 0.55998328 0.62937134 0.61033739 0.53911762 0.58951055 0.59340823 0.43529756 0.57814631 0.62766164]","[0.70327314 0.70447997 0.70769454 0.73085068 0.74776147 0.71811611 0.71801297 0.73014146 0.70675249 0.65469224 0.66476333 0.70456427 0.68925246 0.71515312 0.72829751 0.73265438 0.70764839 0.67817618 0.69753737 0.69811485]","[0.88741137 0.89196853 0.9074168  0.90023629 0.90011278 0.89681629 0.9023175  0.90163461 0.89434947 0.90390474 0.90690331 0.88931088 0.91158834 0.89959966 0.89825155 0.90425906 0.89281394 0.89996816 0.90263963 0.89893329]","[0.93676349 0.93746089 0.93041341 0.9350114  0.93464181 0.93703998 0.93499989 0.93337187 0.93528793 0.93650513 0.93456303 0.9316099 0.93327793 0.93522638 0.93672793 0.93209625 0.93468699 0.93418733 0.9366851  0.93452966]","[0.97660307 0.97682207 0.97669582 0.97666028 0.97695962 0.97684036 0.97684131 0.97705592 0.97659683 0.97685412 0.97691242 0.97705032 0.97691848 0.97723903 0.97729271 0.97681654 0.9769644  0.97705852 0.9769003  0.97698324]","[0.98078678 0.9808899  0.98085269 0.9808436  0.98086365 0.98095447 0.98095106 0.98093381 0.98077617 0.98085146 0.98083274 0.9808826 0.98088485 0.98097297 0.98085207 0.98075924 0.98084982 0.98075666 0.98086721 0.98063948]","[0.98503743 0.98504875 0.98505818 0.98506379 0.98500341 0.98508061 0.98505035 0.98505511 0.98503909 0.98504354 0.98509155 0.98505591 0.98506606 0.98506861 0.98505579 0.9850596  0.98502713 0.98506267 0.98505795 0.98501283]"
AbChain_2_charge,"[0.56651975 0.58513618 0.5057467  0.6183869  0.54030493 0.47455876 0.55351182 0.61933405 0.56980504 0.54568471 0.54272584 0.55520036 0.62666799 0.60805846 0.53534212 0.58603874 0.58910976 0.43247286 0.57538461 0.62547312]","[0.70138198 0.70174848 0.70633016 0.72958036 0.74663426 0.7154359 0.71576339 0.72848022 0.70426389 0.65242273 0.6632014  0.70259763 0.68546874 0.71345376 0.7268545  0.73049356 0.70632526 0.67571356 0.6952813  0.6968177 ]","[0.88643805 0.89119595 0.90660001 0.89965949 0.89938899 0.89598004 0.90158023 0.90077575 0.89377752 0.90307525 0.90636222 0.88842814 0.91090472 0.8990816  0.89758609 0.90364888 0.89223396 0.89926121 0.90187959 0.89830678]","[0.93632276 0.93706068 0.92991981 0.93461329 0.93418508 0.93665342 0.93460322 0.93289142 0.93491009 0.9361056  0.93415301 0.93113445 0.93288517 0.93474126 0.93635434 0.93162124 0.93424591 0.93364648 0.93619692 0.93408838]","[0.97646266 0.97667663 0.97655656 0.97652001 0.97681712 0.97669697 0.97669961 0.97692226 0.97646431 0.97671012 0.97677616 0.97690672 0.97678073 0.97709521 0.97715587 0.97668374 0.97681876 0.97692313 0.97675547 0.97684555]","[0.9806674  0.98077322 0.98073226 0.98072429 0.98074269 0.98083951 0.98083579 0.98081442 0.98065703 0.98073267 0.9807123  0.98076594 0.9807624  0.98085288 0.98073195 0.98064104 0.98073653 0.98063563 0.98074767 0.98051879]","[0.98494299 0.98495579 0.98496422 0.98497022 0.98490939 0.98498701 0.98495655 0.98496187 0.98494573 0.98495017 0.98499789 0.98496261 0.98497304 0.98497465 0.98496175 0.98496605 0.98493362 0.98496843 0.98496404 0.98491994]"
AbChain_3_charge,"[0.54083209 0.56413123 0.48203334 0.5816061  0.53055504 0.44931166 0.50982723 0.59954624 0.55142171 0.51482223 0.52176722 0.51300365 0.59909961 0.5863749  0.50176122 0.55417079 0.55087676 0.41052925 0.54979503 0.60447336]","[0.68443929 0.67835675 0.69266611 0.716402   0.73426322 0.69223941 0.69536784 0.71336863 0.68169957 0.63341826 0.64918483 0.68452762 0.65174882 0.6979714  0.71338427 0.71013396 0.69377803 0.65439803 0.67516666 0.68530719]","[0.87788485 0.88409824 0.8988126  0.89414579 0.89268006 0.88803184 0.89461638 0.89287061 0.8882671  0.89491184 0.90084957 0.88031868 0.90414664 0.89410261 0.89129966 0.8978092  0.88653487 0.89237061 0.89474522 0.89224707]","[0.93204487 0.93318778 0.92529291 0.93082015 0.92990848 0.93290391 0.93073593 0.92836091 0.93130141 0.93211477 0.93026898 0.92666375 0.92914795 0.93001272 0.93268475 0.9271802  0.92986611 0.92853507 0.93148861 0.92984435]","[0.97511778 0.97528736 0.97521925 0.97517075 0.97545698 0.97532879 0.97534957 0.97562157 0.97519001 0.97533095 0.97546255 0.97552526 0.97546162 0.97570648 0.97582877 0.97540114 0.97542414 0.97562221 0.97537178 0.97552138]","[0.9795298  0.97965692 0.97958908 0.97958679 0.97959228 0.97974181 0.97972942 0.97967107 0.97952364 0.97959832 0.9795649  0.97964316 0.97959675 0.97970514 0.9795876  0.97951432 0.97964966 0.97948315 0.97960723 0.97937135]","[0.98404882 0.98407404 0.98407375 0.98408316 0.98401961 0.9841001 0.98406769 0.98407775 0.98406042 0.98406434 0.98410915 0.98407823 0.98409069 0.98408439 0.98407047 0.98407855 0.98404717 0.98407599 0.98407348 0.98403905]"
AbChain_4_charge,"[0.47761314 0.51824429 0.42910423 0.46306687 0.52785344 0.38433316 0.39789565 0.50916371 0.49466204 0.43923847 0.46397536 0.39558113 0.47564443 0.51044945 0.40330344 0.45687083 0.45258119 0.39033558 0.46162169 0.53727553]","[0.64925441 0.62812314 0.64859865 0.66786374 0.67587303 0.63833187 0.63997889 0.67074745 0.62130278 0.60651242 0.61936166 0.63188579 0.55271464 0.66075165 0.67053651 0.65354096 0.65329134 0.60633896 0.62310045 0.65396097]","[0.86037189 0.86532846 0.87548233 0.87976546 0.87580403 0.86511355 0.87402656 0.87229272 0.87293186 0.86904948 0.8829789  0.85994275 0.88168242 0.88053647 0.87462257 0.88107844 0.87008602 0.87151749 0.87524653 0.87628593]","[0.92058245 0.92328945 0.91424069 0.92161604 0.91899034 0.92299224 0.92051465 0.91694626 0.92243025 0.92052395 0.92075188 0.91618454 0.92031543 0.91618085 0.9222308  0.91671642 0.91695991 0.91476583 0.91818627 0.91812348]","[0.97193809 0.97191733 0.97200407 0.97187539 0.9722374  0.97209038 0.97219914 0.97237298 0.9722339  0.97203502 0.97229765 0.97214425 0.97230842 0.97217394 0.97252176 0.97232511 0.97203157 0.97255343 0.97206144 0.97235528]","[0.97682332 0.97697774 0.97692765 0.97687064 0.97686816 0.97714823 0.97705876 0.97688798 0.97684299 0.9768959  0.9768097  0.97687333 0.97680211 0.97693247 0.9768434  0.97684359 0.97704616 0.97673137 0.97687291 0.97666476]","[0.98196115 0.9820102  0.98198591 0.98200221 0.98194571 0.98202432 0.98198587 0.98200906 0.98198989 0.98198812 0.98201651 0.98200948 0.98201893 0.98199901 0.98198017 0.98199072 0.98196768 0.98198653 0.98198292 0.98198077]"
AbChain_5_charge,"[0.49770808 0.55564296 0.44995073 0.4461466  0.59738162 0.4059522 0.41692964 0.47024547 0.51041039 0.46877702 0.46366874 0.40312765 0.42736517 0.50043959 0.39308545 0.46554732 0.48962388 0.43648459 0.43865963 0.54519161]","[0.6961105  0.64775962 0.66969527 0.68327331 0.66253018 0.65823852 0.65753994 0.67689452 0.64432331 0.6600182  0.65078816 0.64342358 0.5476537  0.68903884 0.66683192 0.68483676 0.66195453 0.62850894 0.64049027 0.64827347]","[0.87792432 0.87637119 0.88494162 0.8905016  0.8884625  0.87641101 0.88097226 0.88422918 0.88349586 0.88018256 0.89227603 0.87392612 0.88796696 0.8900946  0.88623982 0.88870244 0.88227348 0.88187557 0.88617459 0.89300319]","[0.93031467 0.93267296 0.92586792 0.93111375 0.92716474 0.93155473 0.9303099  0.92610501 0.93109686 0.92943604 0.92942927 0.92820619 0.92997673 0.92466908 0.92976026 0.92810046 0.92617507 0.92367471 0.92603424 0.92672107]","[0.97558731 0.97531315 0.9755181  0.97536445 0.97578342 0.97566224 0.97582585 0.97578351 0.9758967  0.97565633 0.97578775 0.97569674 0.97578328 0.97548339 0.97593629 0.97580633 0.97555997 0.97613187 0.97563568 0.97593346]","[0.97972528 0.97982453 0.97988141 0.97975007 0.97977108 0.97998519 0.9799024  0.97972161 0.9797215  0.97980434 0.97966698 0.97967684 0.97967859 0.97979965 0.9796706  0.97971305 0.97987666 0.97961932 0.97973199 0.97958787]","[0.98420013 0.98422774 0.98420397 0.98421576 0.98417394 0.98423195 0.98420453 0.98423491 0.98422191 0.9842184  0.98422504 0.98422476 0.98422134 0.9842195  0.98419948 0.98420187 0.98417725 0.98420167 0.98420714 0.98420818]"
AbChain_6_charge,"[0.53465445 0.59116006 0.46520217 0.46396572 0.64695223 0.44250161 0.49625961 0.48433163 0.53158311 0.51072259 0.47457175 0.43861056 0.43153754 0.51776076 0.4184069  0.5095453  0.54681553 0.48854629 0.44712323 0.56193285]","[0.74287408 0.67842622 0.7043392  0.71014403 0.6810655  0.69002635 0.68057119 0.70429712 0.68053577 0.71082824 0.6983437  0.67525991 0.58667624 0.71737083 0.70357564 0.71333227 0.70160345 0.66821218 0.67809042 0.67515301]","[0.89649674 0.90020398 0.90454548 0.90732147 0.90820172 0.89556765 0.90027    0.90362308 0.90107765 0.90458866 0.90788071 0.89767381 0.90444475 0.90841457 0.90491251 0.90323114 0.90515147 0.90003027 0.90216861 0.91354934]","[0.94252907 0.94314272 0.94123889 0.9429808  0.94070577 0.94384742 0.94360752 0.93904497 0.94311798 0.94164979 0.94074283 0.94294418 0.941793   0.9393612  0.94178551 0.94272815 0.93999388 0.93780621 0.93801227 0.94077905]","[0.97959927 0.97933858 0.97956379 0.97938876 0.97968538 0.97968584 0.97984354 0.97968425 0.97990438 0.97968758 0.9796963  0.97973213 0.9798388  0.97938987 0.97971914 0.97965478 0.97963986 0.98005025 0.97965105 0.97985843]","[0.98306813 0.98308616 0.98317281 0.98304264 0.98307044 0.98321022 0.98319004 0.98295729 0.98305688 0.98311302 0.98299162 0.98293964 0.98298205 0.98309113 0.98295955 0.98299201 0.98315614 0.98293612 0.98304541 0.98290301]","[0.98683629 0.98683995 0.98683085 0.98684283 0.98682275 0.98684976 0.98683101 0.98685662 0.9868442  0.98684995 0.98682723 0.98684859 0.98683613 0.98684384 0.98683266 0.9868246  0.9867983  0.98681869 0.98683127 0.98683937]"
