PDB,AbStruc_loops,AbStruc_amide_amide_interactions,AbStruc_amide_ring_interactions,AbStruc_beta_bridges,AbStruc_carbon_pi_interactions,AbStruc_cation_pi_interactions,AbStruc_donor_pi_interactions,AbStruc_beta_strands,AbStruc_threeten_helices,AbStruc_alpha_helices,AbStruc_pi_helices,AbStruc_total_interactions,AbStruc_metsulphur_pi_interactions,AbStruc_beta_bends,AbStruc_beta_turns,AbStruc_aromatic_interactions,AbStruc_atom_atom_sum,AbStruc_atom_plane_sum,AbStruc_carbonyl_interactions,AbStruc_covbonds,AbStruc_mean_interaction_distance,AbStruc_hbonds,AbStruc_hydrophobic_interactions,AbStruc_ibonds,AbStruc_phi_angle,AbStruc_plane_plane_interactions,AbStruc_pbonds,AbStruc_proximal_interactions,AbStruc_psi_angle,AbStruc_vdw_interactions,AbStruc_vdw_clashes,AbStruc_weak_hbonds,AbStruc_weak_pbonds,AbStruc_folding_energy,AbStruc_unfolded_charge,AbStruc_folded_charge,AbStruc_sasa,AbStruc_schains_sasa,AbStruc_lauer_SAP,AbStruc_lauer_DI,AbStruc_free_cys,AbStruc_cys_bridges,AbStruc_pcharge_hetrgen,AbStruc_ncharge_hetrgen,AbStruc_plane_group_interactions,AbStruc_folded_pI,AbStruc_unfolded_pI
12E8,49,8,10,0,43,1,9,117,12,0,0,8557,3,18,31,22,8472,55,55,2,4.301284328619844,176,571,17,-84.41590118408203,12,246,7959,98.36478424072266,141,370,170,241,12.29,-0.68,-1.08,10691.524783653964,8296.513072821894,25.80966820496414,25.89768820496414,4,2,5.442518177367608,3.7278428478590393,18,6.07,6.53
15C8,53,6,10,0,49,0,8,117,15,0,0,8661,2,15,27,61,8567,59,51,2,4.3117307470269015,186,529,12,-85.47399139404297,19,257,8118,100.20223236083984,138,309,188,228,14.16,0.27,-0.83,10470.539364467304,7948.95310704035,27.83141098127632,27.89905598127632,4,2,6.31819417666241,5.191529809812554,16,6.7,7.1
1A4J,48,7,10,2,65,0,14,117,12,0,0,8820,3,21,31,32,8709,82,51,2,4.30714058956916,197,603,16,-75.12123107910156,12,263,8219,90.148040771484375,114,374,176,241,17.53,6.56,7.22,11175.79396938573,8568.580109908113,28.108140256192293,27.519710256192294,4,2,5.234968329376111,4.483085881980813,17,9.44,9.51
1A5F,49,8,8,3,37,2,7,113,18,0,0,8016,7,12,32,10,7942,51,32,2,4.324881487025948,179,491,12,-83.1101303100586,7,250,7530,99.82073974609375,99,311,151,193,11.94,1.07,0.6,10914.04748425707,8391.156914488105,29.587910222021048,29.539010222021048,4,2,5.668724948279981,4.679781627257138,16,7.47,7.91
1A6T,47,4,14,2,44,8,14,114,12,0,0,8257,9,18,30,34,8157,69,37,2,4.301476323119777,185,493,12,-83.62110137939453,13,247,7667,99.23811340332031,124,364,156,233,18,3.55,3.11,10279.704095535295,7701.849544185632,27.08147492372869,26.82800992372869,4,2,6.072860555560125,4.705295259262071,18,9,9
1A6U,50,7,6,3,50,6,13,116,15,0,0,8396,4,10,34,101,8287,68,48,2,4.316204144830872,183,588,16,-82.5149154663086,28,254,7857,90.660980224609375,123,305,143,188,9.71,4.64,4.09,10573.473695496572,8081.944059977074,28.592377923865403,28.2590429238654,4,2,4.5751538577207596,4.612018108656433,13,9.4,9.3
1A7N,50,7,10,1,45,0,7,112,9,0,0,8512,3,21,30,20,8433,55,60,2,4.311376879699249,193,562,34,-82.51032257080078,7,265,8000,99.45653533935547,105,326,173,217,15.05,5.55,5.4,10218.73031718824,7880.232469990082,25.864992413500644,25.424892413500643,4,2,4.733955635888765,4.827803378050078,17,9.52,9.36
1A7O,48,7,10,0,45,0,6,114,9,0,0,8476,3,21,30,20,8399,54,59,2,4.310171071260028,192,589,29,-82.18604278564453,6,265,7945,99.91218566894531,120,332,171,217,10.79,4.55,4.82,10190.621152262373,7818.010536814512,25.450736931728137,25.057906931728137,4,2,4.554392065645357,4.827803378050078,17,9.3,9.2
1A7P,50,5,9,1,40,1,8,112,9,0,0,8509,5,21,30,25,8436,53,57,2,4.31408743683159,200,551,36,-82.64933013916016,6,281,7983,100.2269058227539,113,338,162,224,11.79,5.55,5.46,10238.242887177199,7861.046313309907,25.53052557063087,25.08553557063087,4,2,4.978247906661602,4.77554623494867,14,9.45,9.36
1A7Q,48,5,10,0,44,0,7,113,9,0,0,8517,5,21,30,29,8439,56,61,2,4.306120699776917,198,556,29,-83.09864044189453,7,266,7943,97.21405029296875,125,369,173,218,13.87,3.55,3.58,10160.209401262113,7840.211625642121,26.49346661670119,26.20169661670119,4,2,4.449219309552365,5.064026221130859,15,9,9
