mAb_name,AbStruc_loops,AbStruc_amide_amide_interactions,AbStruc_amide_ring_interactions,AbStruc_beta_bridges,AbStruc_carbon_pi_interactions,AbStruc_cation_pi_interactions,AbStruc_donor_pi_interactions,AbStruc_beta_strands,AbStruc_threeten_helices,AbStruc_alpha_helices,AbStruc_total_interactions,AbStruc_metsulphur_pi_interactions,AbStruc_beta_bends,AbStruc_beta_turns,AbStruc_aromatic_interactions,AbStruc_atom_atom_sum,AbStruc_atom_plane_sum,AbStruc_carbonyl_interactions,AbStruc_steric_clashes,AbStruc_covbonds,AbStruc_mean_interaction_distance,AbStruc_hbonds,AbStruc_hydrophobic_interactions,AbStruc_ibonds,AbStruc_phi_angle,AbStruc_plane_plane_interactions,AbStruc_pbonds,AbStruc_proximal_interactions,AbStruc_psi_angle,AbStruc_vdw_interactions,AbStruc_vdw_clashes,AbStruc_weak_pbonds,AbStruc_folding_energy,AbStruc_unfolded_charge,AbStruc_folded_charge,AbStruc_sasa,AbStruc_schains_sasa,AbStruc_lauer_SAP,AbStruc_lauer_DI,AbStruc_free_cys,AbStruc_cys_bridges,AbStruc_pcharge_hetrgen,AbStruc_ncharge_hetrgen,AbStruc_plane_group_interactions,AbStruc_folded_pI,AbStruc_unfolded_pI
Relatlimab,49,11,11,0,47,0,8,116,9,0,8814,0,22,30,94,8721,55,45,0,1,4.2945405037440425,189,675,26,-83.60840606689453,16,250,8156,93.20441436767578,139,425,217,7.02,2.08,1.5,10534.70787113908,8281.521066584059,29.218872404274197,29.096622404274196,4,2,5.658534885157242,5.3250475414987335,22,8.45,8.53
Retifanlimab,48,10,8,1,43,3,5,120,6,0,8857,7,20,34,15,8772,56,53,0,2,4.305742350683076,188,574,23,-83.7240219116211,11,268,8248,96.91703033447266,151,371,229,11.17,0.57,0.82,10622.595718148945,8191.923624517472,27.018093020585557,26.951263020585557,4,2,5.149067536587507,4.227429742096413,18,7.43,7.35
Revdofilimab,54,16,9,0,31,4,5,119,12,0,8567,7,17,28,10,8495,44,38,0,2,4.322660207774017,190,565,21,-80.64350128173828,3,263,8066,106.00475311279295,114,313,217,20.5,-1.92,-1.97,10735.381118598165,8112.551989551489,26.258180429726117,26.418735429726112,4,2,5.5840009023622335,4.906784206424841,25,6,6
Risankizumab,49,5,9,0,50,0,6,115,12,0,8932,6,19,32,76,8824,62,55,0,2,4.308949843260188,185,625,19,-84.4942855834961,32,252,8292,104.5272979736328,146,384,259,-2.05,6.55,5.74,10774.43724597363,8490.15991667352,26.17200917297985,25.70419917297985,4,2,5.772949267938714,4.020901602506933,14,9.76,9.43
Rituximab,45,11,11,1,51,0,7,118,9,0,8369,9,17,33,61,8260,67,47,0,1,4.3182088660532925,173,565,11,-87.03363800048828,20,246,7827,99.91615295410156,132,300,211,7.7,7.4,6.85,10398.320607750024,7799.076586441243,28.854568904599716,28.296293904599715,4,2,6.341725859260372,4.840868090443149,22,9.78,9.63
Rosopatamab,53,7,8,2,47,0,4,105,15,0,8442,3,20,26,33,8356,54,49,0,2,4.309818763326227,183,554,17,-83.76107025146484,17,251,7856,101.18009185791016,145,353,261,8.62,0.31,0.47,10318.891775765189,7993.007248864645,26.189775955855687,26.15147095585569,4,2,5.790467873639372,4.677271628951662,15,7.32,7.24
Sabatolimab,53,11,7,1,33,3,7,114,6,0,8320,10,18,37,12,8247,51,43,0,2,4.299442307692309,185,538,23,-80.19255828857422,4,245,7726,96.44454193115234,148,371,224,11.78,5.08,4.85,10953.69275013402,8316.323677930008,27.373917498430497,26.978642498430496,4,2,5.522717600659847,4.939724620067092,18,9.4,9.33
Sasanlimab,48,7,11,0,50,5,13,119,12,0,8798,7,19,32,52,8690,72,49,0,2,4.3039202091384405,179,563,16,-87.08390808105469,18,247,8161,99.61176300048828,125,402,236,14.28,4.07,4.26,11005.00905705474,8557.037762534117,28.521319226024744,28.174129226024743,4,2,5.224336049735249,4.567717521758117,18,9.34,9.1
Selicrelumab,62,15,10,1,43,1,10,108,15,0,9097,9,18,28,29,8998,62,47,0,2,4.305224799384413,182,622,19,-83.31809997558594,12,257,8464,98.18446350097656,147,385,228,12.5,5.04,4.95,10336.892235151565,7807.28239218075,27.435955581432864,27.032530581432862,13,2,5.662715213140849,5.15656956251432,25,9.54,9.12
Seribantumab,52,16,7,5,38,4,8,106,12,0,8674,4,17,34,19,8591,51,46,0,2,4.30529859349781,192,537,22,-77.99205017089844,9,280,8103,96.64069366455078,117,369,227,7.2,4.39,4.26,10293.4954728365,7581.711485046093,27.91092444585478,27.563734445854777,8,2,3.698872981785723,3.959403951884576,23,9.6,9.3
Setoxaximab,51,9,12,0,49,2,10,114,15,0,9263,8,18,31,56,9154,67,46,0,2,4.29992874878549,191,656,11,-79.058074951171875,21,275,8615,99.276031494140625,135,402,238,16.87,4.83,4.33,10770.281378900969,8324.242228369236,26.949636093407,26.596741093407,4,2,5.559461372633259,4.83309151130096,21,9.1,9.2
Sibeprenlimab,50,10,9,0,45,0,6,117,9,0,9071,7,19,35,62,8979,58,55,0,2,4.296596847095137,187,561,25,-82.84043884277344,15,270,8392,95.81653594970705,151,434,289,11.98,7.56,6.53,10826.820886120062,8265.683460486865,27.29065150438652,26.758456504386515,4,2,5.529930952365723,4.361459365744967,19,10,9.6
Sintilimab,49,7,8,2,41,2,3,113,9,0,8300,6,14,39,6,8228,51,46,0,2,4.312655421686747,183,562,16,-79.774322509765625,6,240,7764,95.36856842041016,153,309,215,6.26,3.32,3.33,10255.848698214848,7702.155785198064,26.045829139579183,25.774434139579185,4,2,5.279203866664641,4.837918460419372,15,9.25,9.02
Sotrovimab,55,8,10,0,44,6,12,110,15,4,8678,7,24,24,8,8589,65,50,0,2,4.311645540447107,184,542,22,-86.18534851074219,6,244,8076,91.97888946533205,138,373,217,12.71,6.07,6.13,10784.492634188764,8060.440866831493,26.85247281637941,26.35287781637941,4,2,5.3723517170583754,4.817328344587533,18,9.83,9.56
Surzebiclimab,50,20,8,0,39,8,9,116,15,0,8770,5,24,25,11,8680,56,47,0,2,4.307705815279362,182,593,19,-80.29694366455078,6,253,8210,97.6552505493164,124,344,233,14.32,1.85,2.99,10380.99187523922,7711.878566279071,25.726819509337304,25.483134509337305,4,2,4.671496429374599,4.594709700932172,28,8.75,8.49
Teplizumab,53,8,7,0,45,6,13,109,9,0,9164,6,22,31,93,9057,66,46,0,2,4.2648515931907465,187,600,16,-87.41829681396484,26,263,8344,95.37145233154295,161,550,247,23.49,8.29,8.19,10515.491043973438,8292.077958527818,26.32762120208116,25.660136202081155,8,2,4.982205871437093,5.056150815382217,15,10,9.6
Belimumab,53,8,5,3,42,0,7,107,10,0,8110,5,13,42,29,8036,54,50,0,2,4.3083945745992605,175,471,7,-79.58421325683594,7,255,7578,96.47191619873048,121,335,221,12.85,1.65,1.06,11113.495794754615,8514.032859823705,27.14994067626492,27.06355067626492,4,2,4.494577238014274,3.592827048604163,13,8.36,8.45
Bemarituzumab,51,6,8,1,37,0,7,110,12,0,8124,3,16,31,21,8050,47,43,0,2,4.319043574593796,176,498,24,-81.51448822021484,13,250,7636,97.65159606933594,110,302,226,3.28,5.31,4.75,10553.922543793176,8182.692522538216,26.50386818449583,26.116743184495828,4,2,5.749709358196443,4.407560239447216,14,9.54,9.28
